ID,Name,City,State
1,Holy Family Catholic Church,Dale City,VA
3,St. Remy Catholic Church,Russia,OH
5,St. Catherine of Siena Catholic Church,Wake Forest,NC
9,Our Lady of Hope,Bedford,OH
16,St. Augustine,N. Chesterfield,VA
20,"Mary, Queen of Peace Parish",Pittsburgh,PA
23,St. Patrick,Bryan,OH
30,St. Andrew the Apostle Church,Norton,OH
36,Holy Spirit Catholic Parish,Avon Lake,OH
39,Blessed Trinity Parish,Akron,OH
42,Nativity of the Lord Jesus,Akron,OH
46,St. Mary,Defiance,OH
54,St. Anthony of Padua Church,Parma,OH
61,Holy Family Catholic Church,Dale City,VA
69,Saints Peter and Paul Catholic Church,Garfield Heights,OH
77,Guardian Angels Parish,Copley,OH
80,St. Richard Church,North Olmsted,OH
83,St. Christopher,Rocky River,OH
84,Divine Mercy Parish,Massillon,OH
85,St. Paul Croatian,Cleveland,OH
90,St. Adalbert Church,Berea,OH
94,Immaculate Conception Roman Catholic Church,Hendersonville,NC
107,Holy Trinity Catholic Church,Norfolk,VA
116,St. Joseph Church,Strongsville,OH
120,St. Paul Catholic Church,Richmond,VA
121,Our Lady of Nazareth Church,Roanoke,VA
125,Central Virginia Catholic Cluster,Farmville,VA
127,St. John XXIII Catholic Church,Redford,MI
131,La Sagrada Familia Catholic Church,Cleveland,OH
134,St. Victor and Mother of Sorrows,Peninsula,OH
138,Saint Joseph Parish,Avon Lake,OH
141,Saint Peter Parish,North Ridgeville,OH
147,St. Anthony of Padua Roman Catholic Church,Lorain,OH
148,St. Vincent de Paul,Niagara Falls,NY
149,St. Teresa of Avila,Akron,NY
150,The Catholic Parishes of Fredonia,Fredonia,NY
152,The Apostle Thomas,Vienna,OH
154,St. Michael The Archangel Catholic Church,Monroe,MI
155,St. Leo the Great Catholic Church,Winston-Salem,NC
156,St. Aloysius,Springville,NY
157,Saint Barbara,Dearborn,MI
164,St. John Neumann Church,Strongsville,OH
169,St. Julie Billiart Parish,N. Ridgeville,OH
172,St. Patrick's,Hubbard,OH
175,Blessed Mary Angela Parish,Dunkirk,NY
182,St. Ann's Church,Johnston,NC
184,St. Lucien & St. Bernadette,Spruce Pine,NC
188,Our Lady of the Woods Catholic Church,Downriver,MI
192,Holy Spirit Catholic Church,Virginia Beach,VA
198,Saint Joseph Catholic Church,Huntington,WV
199,St. Anthony of Padua Church,Fairport Harbor,OH
200,Nativity of the Blessed Virgin Mary,Lorain,Ohio
202,St Bartholomew,Sharpsville,OH
204,St. Vincent de Paul Church,St. Michael,FL
205,Our Mother of Good Counsel Roman Catholic Church,Blasdell,NY
206,Annunciation,Elma,NY
208,St. John Gualbert,Cheektowaga,NY
209,Epiphany of Our Lord Catholic Church,North Collins,NY
216,St. Joan of Arc Catholic Church,Chagrin Falls,OH
219,St. Lucy Catholic Church,St. Clair Shores,MI
220,St. Ann Catholic Church,Fayetteville,NC
230,Sacred Heart of Mary,Weirton,WV
235,Our Lady of Lourdes Church,Erath,LA
240,Transfiguration Parish,Lakewood,OH
241,Saint Bridget of Kildare,Parma,OH
242,The Shrine Church of Saint Stanislaus Bishop & Martyr,Cleveland,OH
244,Blessed Trinity Catholic Church,Cleveland,OH
245,St. Matthew Catholic Church,Durham,NC
246,Blessed Sacrament Catholic Church,Norfolk,VA
247,Sacred Heart,Norfolk,VA
250,St. Joan of Arc Parish,LaPlace,LA
255,St. Matthew the Apostle Church,River Ridge,LA
262,Saint Michael Catholic Church,Crowley,LA
265,Our Lady of Guadalupe Church,New Orleans,LA
271,St. Agnes Parish,Jefferson,LA
272,Cabrini Church,Alexandria,LA
276,Church of Our Lady of the Holy Rosary,Hahnville,LA
282,Holy Name of Jesus,New Orleans,LA
285,St. John the Baptist Catholic Church,Brusly,LA
288,St. Bartholomew,Middleburg Heights,OH
289,Holy Family,Diocese of Youngstown,OH
290,St. Brendan Parish,North Olmsted,OH
296,Our Lady of the Holy Rosary Catholic Church,Stamant,LA
298,Immaculate Conception Jesuit Church,New Orleans,LA
301,St. Joan of Arc,Saint Clair Shores,MI
302,St. Perpetua Catholic Church,Waterford,MI
305,St. Basil,Eastpointe,MI
308,Saint Matthew Church,Detroit,MI
312,St. Anselm,Dearborn Heights,MI
316,St. Blase Catholic Church,Sterling Heights,MI
317,St. Michael Catholic Community,Sterling Heights,MI
318,St. Malachy Church,Sterling Heights,MI
319,St. Sabina,Dearborn Heights,MI
320,"St. Mary, Our Lady of the Snows",Milford,MI
330,St. Robert Bellarmine Church,Cortland,OH
331,Saint Elizabeth Ann Seton,Warren,OH
333,St. Mary and St. Joseph Parish,Warren,OH
342,Holy Redeemer Catholic Church,Cleveland,OH
343,Sacred Heart Church,Altoona,PA
345,St. Isaac Jogues,St. Clair Shores,MI
346,St. Boniface Catholic Church,Fuquay-Varina,NC
355,Our Lady of Perpetual Help Catholic Church,Salem,VA
356,Northeast 10 Family of Parishes,Tipp City,OH
357,St. Bernard,Buffalo,NY
361,St. Mildred,Somerset,KY
400,St. Francis of Assisi Parish,Athol Springs,NY
402,St. Mary's Parish,Arcade,NY
405,Roman Catholic Church,Angola,NY
414,Communion of Saints,Cleveland Heights,OH
415,St. Aloysius Gonzaga,Cheektowaga,NY
423,St. Gabriel’s Church,Elma,NY
426,Immaculate Conception Parish,East Aurora,NY
428,Central Niagara Catholic Family,Lockport,NY
432,Saint Louis,Buffalo,NY
434,St. Mary's Catholic Church,Swormville,NY
439,Nativity of the Blessed Virgin Mary,Williamsville,NY
440,Our Lady of Czestochowa,Cheektowaga,NY
443,Our Lady of Pompeii,Lancaster,NY
446,St. Philip the Apostle Church,Cheektowaga,NY
449,Queen of Martyrs Church,Cheektowaga,NY
453,Our Lady of the Sacred Heart,Orchard Park,NY
457,Good Shepherd,Clarence Center,NY
462,Our Lady of Mount Carmel,Silver Creek,NY
465,St. Timothy,Tonawanda,NY
467,St. Vincent de Paul Roman Catholic Church,Buffalo,NY
504,Our Lady of Mercy,LeRoy,NY
507,St Albert The Great Catholic Parish,Kettering,OH
509,St. Barnabas Catholic Church,Northfield,OH
512,Prince of Peace Church,Barberton/Norton,OH
518,St. Michael Parish,Glendale,OH
522,St. Joseph Catholic Church,Maumee,OH
523,St. Francis de Sales,Parma,OH
524,Saints Joachim and Anne Parish,Elizabeth,PA
526,St. Jude,Cincinnati,OH
550,St. John Baptist de La Salle,Export,PA
551,Church Of St. Patrick,Newry,PA
560,St. Angela Merici,White Oak,PA
566,Basilica of Saint John the Baptist,Canton,OH
568,St. Malachi Parish,Cleveland,OH
571,Mary Queen of the Apostles,Brook Park,OH
573,Sacred Heart Church,Rock Creek,OH
582,Our Lady of Mount Carmel,Cleveland,OH
593,St. Frances Xavier Cabrini & Vincent de Paul,Diocese of Toledo,OH
598,St. Joseph Byzantine,Brecksville,OH
599,St. Hilary Parish,Fairlawn,OH
600,Marion Catholic Community,Maria Stein,OH
607,St. Peter Catholic Church,Raleigh,NC
629,The Catholic Community of St. Thomas More,Chapel Hill,NC
632,Saint Andrew,Apex,NC
638,St. Michael Cary,Cary,NC
641,Saint Joan of Arc Parish,Streetsboro,OH
644,St. Francis of Assisi Parish,Cabot,PA
645,Holy Spirit Catholic Church,Uniontown,OH
654,St. Thomas More Catholic Church,Lynchburg,VA
655,Sacred Heart Catholic Church,Danville,VA
656,Our Lady of Perpetual Help Parish,Aurora,OH
657,Cluster Parishes of Portsmouth & Chesapeake,Portsmouth,VA
658,St. Thomas Aquinas University Parish,Charlottesville,VA
662,St John Catholic Church,Highland Springs,VA
670,St. Thomas More Church,Brooklyn,OH
673,Corpus Christi Parish,Bridgeville,PA
674,Our Lady of the Lake Parish,Euclid,OH
675,St. Thomas the Apostle Parish,Homestead,PA
676,Immaculate Heart of Mary,High Point,NC
678,St. Clarence Church,North Olmsted,OH
681,Saint Dominic Church,Mayville,NY
689,St. Sebastian,Akron,OH
691,Holy Name Church,Cleveland,OH
696,Assumption Grotto,Detroit,MI
702,Saint Francis of Assisi,Masontown,PA
710,Guardian Angels Offertory,Natrona Heights,PA
712,Saint Paul Catholic Parish,North Canton,OH
713,St. John the Evangelist & St. Saviour,Cincinnati,OH
718,Our Lady of Sorrows,Monroe,OH
723,Archangel Gabriel,Robinson Township,PA
726,St. Paul the Apostle Parish,New Middletown,OH
729,St. Aloysius Catholic Church,Bowling Green,OH
730,Our Lady of the Angels & Saint Maria Goretti,Lawrenceville,PA
732,St. John the Baptist and St. Joseph,Scottdale,PA
791,St. Andrew's Catholic Church,Roanoke,VA
796,St. Leo Catholic Church,Inwood,WV
799,Holy Ghost,Opelousas,LA
800,Notre Dame Church,St. Martinville,LA
803,Sacred Heart,Baton Rouge,LA
804,St. Joseph Catholic Church,Broussard,LA
805,St. Francis of Assisi,Breaux Bridge,LA
807,Sacred Heart Catholic Church,Hattiesburg,MS
808,St. Bernard ,Breaux Bridge,LA
816,Saint Pius the Tenth Catholic Church,Greensboro,NC
821,Church of the Redeemer,Mechanicsville,VA
822,Church of the Ascension,Virginia Beach,VA
823,Saint Joseph,Hampton,VA
825,St. Patrick Catholic Church,Baton Rouge,LA
827,Mother of Christ,Miami,FL
831,Our Lady of the Lake,Delcambre,LA
833,St. Joseph Cathedral,Baton Rouge,LA
838,Holy Spirit Catholic Church,Tuscaloosa,AL
840,Our Lady of Mount Carmel,St. Francisville,LA
843,Our Lady of Mercy Parish,Baton Rouge,LA
855,St. Joseph Roman Catholic Church,Milton,LA
